6.691137,0.5709146,0.26572204,0.66755587,1.2093267
6.6809235,0.6001494,0.24434829,0.5390647,1.0851989
6.6090384,0.5784764,0.52015805,0.37843996,1.1563873
6.8167696,0.5332303,0.26388502,0.45263296,0.89364564
6.855038,0.56412435,0.02076912,0.5457504,0.77267206
7.0881414,0.58428836,-0.20718956,0.5041069,0.9669546
6.731063,0.53983307,0.6017413,0.5611555,1.019032
6.782161,0.55472183,0.5648004,0.4270994,0.5438186
6.7894874,0.624002,0.42142153,0.47551626,0.69816554
6.877368,0.5803429,0.22458315,0.40209097,1.086906
6.687806,0.5925089,0.4246111,0.48761755,0.9635291
6.72354,0.60101104,0.36451483,0.43116826,1.1484442
7.392957,0.6075523,-0.6248766,0.388497,1.5735483
7.4471498,0.58540475,-0.6011976,0.45007455,1.3509275
7.3196483,0.60034907,-0.5331274,0.5375382,1.4103016
6.5200825,0.63143456,0.20052612,0.4892993,0.72627926
6.4408464,0.595382,0.7711358,0.49180007,0.92891014
6.389977,0.66978526,0.6264715,0.47417778,1.0920889
6.896427,0.5930331,0.030519366,0.52312714,1.1764276
7.120851,0.55629957,-0.16167235,0.5948419,1.3456751
6.8821964,0.5974282,-0.2516123,0.5594968,0.8817582
6.8968143,0.5515207,0.5336528,0.4919892,0.7303661
7.053101,0.5797565,-0.09875357,0.45416588,1.1854086
6.95443,0.61804473,-0.41878057,0.42185527,0.7996447
6.400523,0.6445514,1.6048117,0.3878364,0.6504725
6.347666,0.6657654,0.79251134,0.5345018,0.63890105
6.2929935,0.6781627,0.6979542,0.55583364,1.1363728
6.6394835,0.65991163,0.4372344,0.4326744,0.7819421
6.5284977,0.59313476,0.21452188,0.49328583,0.940357
6.6694775,0.57355285,0.52284074,0.52439636,1.0876672
6.721015,0.680068,-0.086368084,0.32700473,1.2704167
6.540134,0.68040824,0.22016573,0.28178948,0.8400329
6.5986767,0.68774104,0.5773274,0.40807527,0.89864117
7.0139003,0.666734,-0.402022,0.30857444,0.9490266
6.9138803,0.63732386,-0.2837714,0.45759064,1.0827472
7.089634,0.58993804,-0.007224679,0.34268922,1.0049691
6.9214325,0.60150945,-0.003110528,0.5081097,1.10845
6.91014,0.56113183,-0.05968511,0.47361565,0.77298886
6.915252,0.5673648,-0.03722799,0.35309106,1.3192072
6.518449,0.69405234,1.0329092,0.2803691,0.7203509
6.390468,0.69059145,1.0494618,0.28968787,0.83048105
6.4467545,0.68570936,1.5040882,0.40155393,0.6533577
7.0110807,0.5878099,-0.087371826,0.37379062,1.1754699
7.0407114,0.6311109,-0.48806882,0.5060538,1.3355204
7.330775,0.62582374,-0.32626194,0.37365478,1.101647
6.8325205,0.614218,0.2295841,0.39408296,0.7302417
6.663456,0.62092423,0.29816222,0.4138962,1.0528836
6.644394,0.6521547,0.16798139,0.52767175,0.9690806
6.582448,0.688439,0.6673074,0.41662633,1.1886461
6.714218,0.6657833,0.4396714,0.44396904,0.75107396
