0.53705335,2.313601,-0.72675794,3.8420482,-1.1279925,-1.4703379,2.1085048,0.87912154
0.5257588,2.3327444,-0.690977,3.855414,-1.0369647,-1.4980048,1.8158908,0.8818065
0.53980494,2.0889785,-0.71024054,3.8591146,-1.0565064,-1.4973783,1.9165301,0.8767942
0.5075885,2.1844814,-0.6746988,3.8866968,-1.0446223,-1.504713,1.9720075,0.9122102
0.5164701,2.2014904,-0.67343193,3.8922474,-1.0415251,-1.4787476,1.9835243,0.88037455
0.53386843,2.0843198,-0.680255,3.8622527,-1.0259885,-1.494401,1.955365,0.91982937
0.5167879,2.091364,-0.62379843,3.8641348,-1.0557241,-1.5187066,2.043673,0.91382015
0.5121018,2.0005975,-0.70414007,3.8597686,-1.0654202,-1.4976736,2.0659425,0.9060612
0.51463455,2.0285065,-0.73594004,3.8677995,-1.106656,-1.4999244,2.0197432,0.9056574
0.52442783,2.0998883,-0.7398044,3.8551455,-1.0368955,-1.5004119,1.890482,0.9250066
0.5020456,2.1282878,-0.73464775,3.8780365,-1.0762604,-1.4676483,1.8615267,0.95478106
0.500755,2.0232632,-0.6828799,3.921722,-1.0184326,-1.4798479,1.8512282,0.94706845
0.5161692,2.0607104,-0.77567255,3.9217196,-1.0341065,-1.4653484,1.8126855,0.95790946
0.5243358,2.005628,-0.702443,3.9038672,-1.0018883,-1.4429402,1.8189752,0.93803585
0.5039793,2.0020263,-0.6869888,3.8544168,-0.9464148,-1.4455781,1.8868933,0.93854606
0.60603505,2.1919658,-0.6856221,3.818187,-0.893069,-1.4941547,1.8683803,0.8655658
0.58150005,2.1457715,-0.6195122,3.9183648,-0.8764254,-1.4898837,1.8797555,0.84937954
0.5831001,2.0471008,-0.6349743,3.8519077,-0.84356856,-1.478451,1.9256613,0.87346745
0.5337834,2.1069431,-0.6444342,3.689683,-0.8495109,-1.4997752,1.9380503,0.8620442
0.5998329,2.1146233,-0.6809114,3.6514542,-0.8331493,-1.5148438,1.9288661,0.87343097
0.59412044,2.0726192,-0.6920115,3.6652792,-0.86960435,-1.5058663,1.9289541,0.86644745
0.64196056,2.0645494,-0.67800015,3.684434,-0.8658142,-1.4878871,1.9585183,0.9067004
0.55955935,2.0774398,-0.64931387,3.678571,-0.86449337,-1.5043842,1.9622974,0.88554454
0.59566826,2.277035,-0.6497951,3.6631684,-0.84535277,-1.5109966,1.9599018,0.88565874
0.6180375,2.2099464,-0.63941926,3.6309693,-0.8336061,-1.5411066,2.0561583,0.8797015
0.5948363,2.1029675,-0.6408389,3.664467,-0.838532,-1.552185,2.07435,0.878297
0.5847791,2.1267865,-0.57059276,3.6585894,-0.841493,-1.5566373,2.2465086,0.8830061
0.54890645,2.093272,-0.5474036,3.653314,-0.8419442,-1.5607136,2.322086,0.87360203
0.57805115,2.0291955,-0.5324197,3.6092622,-0.84144974,-1.5614815,2.3941467,0.8981507
0.53493446,2.0153437,-0.5339342,3.635004,-0.8349221,-1.5327836,2.3082151,0.90574765
0.58511645,2.0021544,-0.5318836,3.680687,-0.8212726,-1.5316088,2.2829423,0.90817666
0.54791933,2.0053787,-0.56456554,3.670897,-0.80104387,-1.5382528,2.2295358,0.8946692
0.5702431,2.0372052,-0.5712717,3.7203555,-0.8108847,-1.5270898,2.1857374,0.87587774
0.52935314,2.104002,-0.5539655,3.687008,-0.82301736,-1.5352314,2.2020905,0.8886101
0.51228565,2.151634,-0.55937254,3.6485705,-0.8433347,-1.5293684,2.2539744,0.9026996
0.52503085,2.157644,-0.55511355,3.6643353,-0.7989328,-1.5527585,2.2257736,0.8950385
0.54297954,2.2375805,-0.5505885,3.68029,-0.83570254,-1.5528259,2.239883,0.8779688
0.5325168,2.2848206,-0.5657526,3.6523373,-0.7944168,-1.5543935,2.2150593,0.86392415
0.6318706,2.2949452,-0.56481826,3.6098168,-0.7800299,-1.5700924,2.2726133,0.86715007
0.5567364,2.0254889,-0.5701783,3.6095033,-0.7589072,-1.557795,2.282447,0.868358
0.65384126,2.038849,-0.5578371,3.6538367,-0.7874335,-1.5473752,2.2578216,0.8699577
0.5217915,2.0746353,-0.5336912,3.7436893,-0.80930686,-1.5333748,2.2714508,0.88056135
0.53049624,2.0903497,-0.55313194,3.7393494,-0.8191334,-1.520176,2.1739955,0.89471674
0.55454296,2.0619957,-0.56898826,3.7561657,-0.837831,-1.497998,2.1045341,0.9060072
0.5843032,2.8079896,-0.56798136,3.7205124,-0.86458457,-1.5012646,2.1029108,0.8881011
0.55135405,2.2711205,-0.56387675,3.720231,-0.86248577,-1.4812957,2.1245422,0.9036752
0.5648749,2.6695204,-0.5516716,3.7609446,-0.84685314,-1.5389574,2.154017,0.8774679
0.52744496,2.2556732,-0.5565081,3.6680667,-0.84618783,-1.5536723,2.1452243,0.91433465
0.5590021,2.1387618,-0.55767816,3.6406546,-0.8624364,-1.5618398,2.2095954,0.93638134
0.54069847,2.1699378,-0.5026754,3.6587255,-0.87947285,-1.5255383,2.2435827,0.93386865
0.5086181,2.2344635,-0.60188735,3.6139674,-0.8478037,-1.5627319,2.154894,0.9056289
0.50841415,2.2413719,-0.585549,3.5567148,-0.81676793,-1.6400826,2.0963106,0.8711482
0.5417434,2.3173504,-0.5723312,3.467519,-0.7916442,-1.618014,2.2780411,0.89284134
0.5200994,2.0195727,-0.60752636,3.397946,-0.80540466,-1.6601621,2.2989984,0.8968786
0.5820011,2.008451,-0.6163737,3.4089034,-0.8101752,-1.6873028,2.2981706,0.88694096
0.5063382,2.0009174,-0.61536705,3.4393172,-0.7898141,-1.6817324,2.332012,0.86782885
0.51831466,2.0159848,-0.59927,3.4848351,-0.8211254,-1.6782368,2.3399568,0.8850721
0.50336796,2.013754,-0.59412336,3.5103517,-0.82596636,-1.649783,2.3216727,0.8813704
0.50750965,2.0392854,-0.604391,3.5020003,-0.8213842,-1.6433104,2.1978323,0.880978
0.51135904,2.1370597,-0.6171903,3.5525358,-0.78786814,-1.6461208,2.136831,0.83829665
