7.9070435,-0.35191315,0.4053347,0.42585853
7.912985,-0.3537413,0.41586244,0.42338854
7.8688602,-0.3414359,0.47839153,0.40690905
7.7751274,-0.3214687,0.4476087,0.39881647
7.7707367,-0.31457263,0.5275235,0.43810445
7.732119,-0.30776262,0.5060084,0.39259487
7.807939,-0.32557,0.47952425,0.40079594
7.8090014,-0.30625606,0.59080863,0.39502263
7.782437,-0.31502807,0.46886683,0.38299096
7.8314805,-0.32233572,0.47024286,0.42488387
7.828156,-0.33662105,0.47680366,0.42114693
7.8151445,-0.3616137,0.5734174,0.4379422
7.8474507,-0.3493172,0.47436738,0.44370085
7.8637533,-0.33367097,0.38900304,0.43271318
7.873204,-0.33023107,0.3854878,0.39221197
7.889906,-0.2954536,0.32329547,0.40071672
7.8702545,-0.28843427,0.28324628,0.3663375
7.8277674,-0.28523988,0.3519218,0.3970215
7.814803,-0.30966705,0.42673087,0.382066
7.826946,-0.35727638,0.46491206,0.41984105
7.8556805,-0.31605715,0.42681456,0.43899933
7.8526955,-0.32902777,0.51062346,0.37360203
7.8240705,-0.33230108,0.41738093,0.44706157
7.8636613,-0.351923,0.3297646,0.4646169
7.8488054,-0.40735495,0.60805297,0.44106215
7.8200374,-0.38426477,0.55974865,0.44826093
7.784179,-0.392084,0.7019607,0.4265647
7.858279,-0.3994661,0.5129514,0.4484549
7.810443,-0.3689019,0.603093,0.45374662
7.8613644,-0.37490153,0.6156293,0.47722852
7.944483,-0.42580265,0.63144577,0.41927534
7.9721813,-0.43629932,0.5642581,0.45267385
7.9451795,-0.42631662,0.46226692,0.5054778
7.965816,-0.4206925,0.5839286,0.5081639
7.920151,-0.39824343,0.42740643,0.42633644
7.8890066,-0.42358595,0.46352482,0.53769076
7.931159,-0.4274665,0.48336446,0.5299961
7.8789463,-0.40356314,0.47804272,0.52301043
7.9230537,-0.4257208,0.54314816,0.5001742
7.860051,-0.39753103,0.5419018,0.52725846
7.910624,-0.40462607,0.40183115,0.46005422
7.955959,-0.3956927,0.3379495,0.451154
7.895568,-0.35691684,0.41029716,0.4028254
7.909523,-0.31618208,0.40241468,0.3989675
7.9345636,-0.33878064,0.2973572,0.42280996
7.8960423,-0.35634458,0.36416483,0.43722105
7.879292,-0.34331435,0.29718518,0.47404474
7.884362,-0.321971,0.2810011,0.44277936
7.8661585,-0.32849675,0.33740258,0.4338352
7.85937,-0.34294152,0.3263266,0.44902754
7.9101195,-0.36198568,0.3225069,0.47736222
7.8711977,-0.36722374,0.4127772,0.484038
7.8957047,-0.33143926,0.29354978,0.4561575
7.930996,-0.36386114,0.3887422,0.45998937
7.924964,-0.35209084,0.32646573,0.45077175
7.860327,-0.32993716,0.3607582,0.4516179
7.8445773,-0.32404745,0.4178555,0.43524563
7.872698,-0.31884378,0.33474314,0.39012676
7.8675776,-0.32496047,0.3935325,0.4070469
7.8846073,-0.345663,0.4751985,0.4595816
7.8990145,-0.35032755,0.45872664,0.410246
7.838663,-0.31790793,0.35398984,0.3918141
7.9293118,-0.31981325,0.42295074,0.4446324
7.4151793,-0.16715491,0.71330166,0.28514212
7.355936,-0.15958613,0.88787866,0.2671166
7.2953415,-0.15487832,1.0796533,0.24520934
7.2781286,-0.168149,0.9517813,0.28147846
7.2214384,-0.15908778,1.0423009,0.2974856
7.2688494,-0.16848451,1.0536485,0.26954216
7.2391233,-0.19175786,1.0533757,0.2868139
7.286785,-0.1874814,1.0580962,0.27154908
7.311733,-0.17417341,1.0323224,0.27354762
7.346534,-0.15447325,0.8850043,0.27978632
7.295641,-0.14180297,0.86696374,0.2754843
7.3393917,-0.14380944,0.8569579,0.30577126
7.344208,-0.14126062,0.77454424,0.30956757
7.338192,-0.15068877,0.77104044,0.2912332
7.361791,-0.15775973,0.7300105,0.28665417
7.3605776,-0.142798,0.77690506,0.2639882
7.3409886,-0.15903556,0.80267596,0.25951475
7.3411975,-0.109182775,0.76411796,0.2718843
7.3636203,-0.14203733,0.8245777,0.27841747
7.2906337,-0.12013477,0.8261819,0.25718972
7.26744,-0.12007338,0.9606612,0.25430986
7.240203,-0.1384511,0.95265865,0.28015482
7.1905985,-0.119559884,0.9260781,0.26527303
7.100168,-0.1066196,1.029516,0.2774139
7.1120625,-0.056116223,1.0234723,0.2118704
7.0996933,-0.068924904,1.011972,0.20802052
7.0461283,-0.075769484,1.0674646,0.2158397
7.0221014,-0.07882947,1.1149592,0.21685775
6.9698377,-0.07510561,1.1307027,0.25115606
6.9966116,-0.08985323,1.1195157,0.23886546
6.9845004,-0.089241564,1.1628294,0.2510259
