-3.1142163,-5.924373,-0.60372436,1.026216,4.268853
-17.407005,-16.448162,-8.43121,-1.2354536,-9.528159
17.903717,-3.27874,215.53966,-149.5852,-1953.9612
-5.8378477,35.0346,26.33639,1.8088088,-11.730314
3.4195766,52.43127,-5.8883505,-38.618237,-12.322273
5.9380894,-19.508503,-1032.2714,-2066.6484,-2755.4524
3.676096,-1.3277948,-18.030674,-30.267164,1021.2375
0.42078492,0.31941247,37.673927,1.0388483,-16.854694
-0.05137672,-4.6553893,225.0324,440.87717,-3242.4375
8.585728,-3.6263404,4.8546104,1.1514175,-1273.0327
11.81551,-29.325563,-21.279762,-3.3488438,21.952164
-25.327251,26.860714,3.5407197,8.937357,7.1630545
6.709802,-9.339153,2374.4395,995.211,-1144.9205
-8.88201,-6.5950413,-9.894958,3.5031486,-0.64166164
-25.367285,-2.6982164,0.11922096,-18.764639,-5.228087
-25.577215,-16.628635,-2.7100914,3.2122657,-22.990366
-1.085586,-16.276796,-4.3749666,-2.6926672,24.921265
2.3204737,-1.253846,15.8856535,1.7756058,-1138.0535
6.0335584,3.2529504,5.0973587,3.0504653,-15.068925
8.847104,-13.239361,-2968.8835,-540.26917,-1876.9468
18.00446,0.8364453,-1128.6227,875.5094,411.5143
-6.682913,2.2047842,-922.8277,-15.849332,16.538082
-22.236383,22.330963,-1.1626483,-21.191874,3.103693
-14.207926,1.2399155,-11.452445,6.1715846,-28.78635
17.622736,-25.458727,-15.7405815,-2.5928206,30.82647
11.169173,3.0365574,-17.612576,-3.5697334,10.347844
13.256751,3.85092,7.193744,-0.5056131,-7.962037
-0.1994913,-11.441545,5.0535684,-0.7975753,9.873502
1.716542,2.8024096,22.700699,-4.2232547,2.068452
-3.8960402,-1.0076429,-14.116394,-0.552759,-4.945486
-4.8976674,0.8582093,-929.3403,-3.000351,-12.855591
-24.148531,-43.56372,-931.3476,-6.5863056,33.760624
-15.502069,-7.609522,-1.8505683,2.4956996,-7.0810337
10.898671,4.6813555,8.098526,0.69697225,38.49483
23.975365,-2.7943847,281.04834,-17.280748,-1213.2135
3.0897033,-1.8554684,-1020.5687,-294.38364,-398.83762
-3.9787645,-0.64536154,7.957676,9.333389,-18.236156
6.0402513,-34.233234,12.859261,-2.9369144,80.8911
