-0.032516137,0.4046269,-1.3422941
-0.17418464,0.11859818,-4.2557487
-0.103142306,-0.12046758,1.16627
-0.8954124,-0.56140345,-2.5005853
-0.015966322,0.1639958,-4.2565546
-0.028324874,0.21653308,-0.89130324
-0.18181321,-0.38722622,10.864187
0.025967019,0.114746034,-3.4054894
0.05275732,0.10086342,0.88114667
-0.2809105,0.2497612,2.7023277
0.13643707,0.21461129,4.701089
0.19148979,-0.15761314,3.241416
0.024400933,0.23779142,-1.3035971
-0.031221101,-0.07449879,0.5202955
-0.0997413,-0.04933108,-5.0368323
-0.26592705,-0.10430302,-5.25379
0.11621721,-0.15334979,-0.45804256
0.2006714,-0.090171285,-0.78368133
-0.31671658,-0.0050214003,3.3797927
-0.70443624,0.034474786,-5.8605404
-0.20816547,0.33825237,4.1224394
-0.049841464,-0.04952947,3.230232
0.0065635704,0.08007695,0.48445043
-0.5883357,-1.9847964,-2.585165
0.26168272,0.031902805,-1.2352422
-1.4708592,0.86301255,-5.808853
0.094185546,-0.045517873,8.701097
0.091502294,-0.10123265,-3.9614353
0.2126685,-0.1989971,8.873711
-0.3361147,-0.29589507,-2.1485844
-0.04161156,-0.05956892,0.48311085
-0.009676215,-0.004742417,1.8747815
0.46366116,0.39024296,-4.479806
0.09354891,0.03014391,-0.843569
-0.06745928,0.02649695,-3.8039029
0.04369808,-0.009691349,1.8949199
-0.06363733,-0.124323525,-5.1205864
0.12772611,0.09107977,2.4538746
0.059662577,-0.34066644,3.5960956
0.07658919,-0.30844185,-0.07177058
0.057178725,0.2091968,-1.7415409
0.29347625,-0.37944874,1.3920003
-0.10784999,-0.25108197,-0.7812594
-0.12884955,-0.04744046,1.52754
0.36683366,0.5586657,0.10440978
-0.2505738,-0.091862135,2.595058
0.30532825,0.1240046,-7.462445
0.03637424,-0.33700952,-0.61980486
0.0027153427,0.08436846,-7.695116
0.3248164,-0.14022891,3.1543345
0.14064881,-0.109621465,-3.4676316
0.045718156,-0.2413947,7.1415744
-0.10887646,-0.020165741,-6.6578064
-0.11476077,0.0056829466,-2.5016668
0.36654904,-0.23508261,-0.59118867
0.08380986,0.1315655,-3.377596
0.12831956,-0.2504173,-0.88845414
-0.07152324,-0.04025341,-4.110308
0.0066193454,0.02435091,-3.3634655
-0.09020873,0.21117358,-1.4306135
0.053992253,0.049659044,-2.2765305
0.41974008,0.28973204,-0.056458663
-0.1660991,-0.015468137,-5.810404
0.11485878,-0.004384246,-3.5910702
0.16571799,-0.047709808,6.125621
0.12032944,0.36920115,1.5336281
-0.25138327,0.102363825,-4.640572
0.081485085,-0.13139358,0.028487895
-0.20446491,0.028238783,2.644221
-0.07626606,0.022751924,-1.8414158
0.11472732,0.15547127,5.104528
0.074573025,-0.036924798,-7.1516504
-0.020641597,0.15904199,-1.1325635
-0.017248597,0.005696178,-5.2331166
-0.26597762,-0.15213086,-0.77173996
0.10586434,0.079795524,2.355363
-0.061240904,-0.01684397,-4.156902
-0.23716393,0.051269304,6.1197724
0.1442974,-0.18462022,5.904065
1.3017651,0.1276438,-2.828781
0.0068662493,0.042711485,-6.827685
0.21071167,-0.039001912,-2.8943098
-0.42899764,-0.2598004,-3.0158777
0.049634364,0.1580372,3.4423192
-0.14611335,-0.014693907,3.801999
-0.09509738,-0.22130524,-3.2279224
-0.13839658,0.20168795,-1.8569331
-0.5796348,-0.52127105,2.0105834
0.14389619,0.07129412,-1.4233665
-0.15712419,0.17149395,-2.5353541
-0.15849885,-0.114329025,-10.585767
-0.085009836,0.057056207,-4.490864
0.112157136,-0.6352063,0.37488022
-0.14067158,-0.103517495,0.07463666
0.059583664,-0.041297838,0.885621
-0.045581732,0.01974483,1.3993379
0.033605006,0.016578922,3.073378
0.04659201,-0.0064062076,-2.4029925
0.014073269,0.2633938,2.5986767
0.04243864,-0.04301954,-0.8734972
