-0.16912107,-0.022625858,-0.1866446,-1.4442812,4.4598365,-3.5271518
-0.060842767,-0.15216635,0.0108407,3.1955242,-7.285011,1.5949587
-0.30202085,0.013456965,0.031222805,3.4793382,-7.822599,2.387248
0.117274314,-0.03375441,0.039880767,3.6487274,1.2878479,2.8822036
-0.2347721,-0.07922788,-0.1990254,-2.6363084,-1.5546435,-1.329804
0.31813866,-0.26490924,-0.040615994,-0.52627337,2.0801542,0.28142062
0.08790954,-0.09561578,0.057258382,0.43460944,-1.3772767,-4.7397118
5.023247,-1.6460762,-0.8230163,8.152961,6.9685073,-3.640889
-0.13761579,-0.05413806,0.34032232,0.92473674,-0.5596455,5.168075
-0.06357043,-0.041820247,-0.019532928,-2.1610284,-5.8101726,0.4726791
-0.085181825,-0.18540803,-0.38226599,1.806832,4.6644306,-0.98920214
-0.07733366,-0.15100358,0.0505696,-2.601533,-0.01171535,-1.9576273
-0.14860812,0.007930274,-0.33753356,-2.9831827,-0.8718316,2.8931499
0.17784859,0.10219602,-0.23276334,-1.8144479,2.3038895,-4.7476754
0.07503728,0.09643529,-0.14190768,3.7568226,8.533146,3.1588595
-0.055381984,0.116492905,0.085497186,0.395684,-1.8663906,-1.8240238
0.18607336,-0.21013793,0.37119898,-1.5336708,-2.8313754,-6.1036196
-1.070535,0.08599429,0.26458764,-4.612452,2.1592524,-0.04524679
0.0033138907,-0.0020001517,0.0075158942,7.044235,1.3651282,-1.7223018
0.022162056,-0.35891074,0.028024277,-0.37351206,-1.108436,-0.9638897
-0.21596919,0.10791373,-0.0010859014,-6.40504,6.5457616,0.96028864
0.30879155,0.44353336,-0.7575778,-2.737822,5.8513985,-1.3031876
-0.3853519,-0.3062081,0.46438548,6.6672783,-3.2960322,7.574726
0.37970307,-0.25114822,-0.25116533,0.297383,1.9693605,4.4249554
-0.09372609,0.2655078,0.26895356,-5.0907426,-2.2774723,-1.6449156
0.709772,13.857879,-3.0104923,-2.7651725,-1.8876287,-0.8272915
0.11558622,-0.0536658,-0.03163756,-1.704023,-3.1847916,0.2698017
0.097794,0.23922005,-0.11857513,6.1462126,4.986153,1.2085654
-0.072696194,0.062022023,0.088381484,-3.3149009,-2.5304053,-4.03443
-0.33669007,0.14101516,-0.09089084,3.6275094,-7.726578,0.57062346
-0.038751088,-0.029318428,0.18017346,3.8256762,1.5424842,-3.258824
0.0331616,-0.025386801,0.23632357,-0.43346474,-0.14146417,3.9259424
-0.22908415,0.017431613,0.0351253,-2.355299,7.816616,-0.5728459
0.05049404,-0.040633433,0.030017594,0.03220378,1.147998,-1.4935961
